Frequency (Hz)	Level (dB)
86.132813	-19.076071
172.265625	-31.348925
258.398438	-43.567810
344.531250	-51.277260
430.664063	-53.960823
516.796875	-58.368279
602.929688	-62.980721
689.062500	-67.406609
775.195313	-67.355370
861.328125	-69.889786
947.460938	-72.736473
1033.593750	-75.044006
1119.726563	-74.422333
1205.859375	-75.558754
1291.992188	-79.353195
1378.125000	-79.532631
1464.257813	-78.715935
1550.390625	-80.666275
1636.523438	-83.808556
1722.656250	-82.835175
1808.789063	-82.449669
1894.921875	-84.858360
1981.054688	-86.353943
2067.187500	-85.552246
2153.320313	-85.554436
2239.453125	-88.332474
2325.585938	-88.641960
2411.718750	-87.924156
2497.851563	-88.069008
2583.984375	-90.634148
2670.117188	-90.973999
2756.250000	-89.639648
2842.382813	-90.259476
2928.515625	-93.141968
3014.648438	-92.248734
3100.781250	-91.340500
3186.914063	-92.428757
3273.046875	-94.589653
3359.179688	-93.179398
3445.312500	-93.214600
3531.445313	-93.956429
3617.578125	-95.969810
3703.710938	-94.508102
3789.843750	-94.649925
3875.976563	-95.753906
3962.109375	-96.932320
4048.242188	-95.725143
4134.375000	-95.841766
4220.507813	-97.113739
4306.640625	-97.816216
4392.773438	-96.688484
4478.906250	-96.994316
4565.039063	-98.596725
4651.171875	-98.413452
4737.304688	-97.883141
4823.437500	-98.652824
4909.570313	-99.403419
4995.703125	-99.308533
5081.835938	-99.315125
5167.968750	-99.585464
5254.101563	-100.299706
5340.234375	-100.144249
5426.367188	-100.241798
