Frequency (Hz)	Level (dB)
86.132813	-21.586964
172.265625	-30.525534
258.398438	-43.039024
344.531250	-55.176502
430.664063	-63.908665
516.796875	-70.906845
602.929688	-75.659645
689.062500	-75.450127
775.195313	-76.494011
861.328125	-79.772789
947.460938	-83.641907
1033.593750	-83.660545
1119.726563	-83.319305
1205.859375	-84.519531
1291.992188	-87.294571
1378.125000	-88.185432
1464.257813	-88.238022
1550.390625	-89.018600
1636.523438	-90.704475
1722.656250	-92.097908
1808.789063	-92.289490
1894.921875	-92.071777
1981.054688	-92.789665
2067.187500	-94.076897
2153.320313	-94.434761
2239.453125	-94.631500
2325.585938	-95.195816
2411.718750	-95.539749
2497.851563	-95.913223
2583.984375	-96.147575
2670.117188	-96.823517
2756.250000	-96.751244
2842.382813	-96.410126
2928.515625	-97.338257
3014.648438	-97.784637
3100.781250	-97.967216
3186.914063	-98.108253
3273.046875	-98.201340
3359.179688	-98.439041
3445.312500	-98.550453
3531.445313	-98.781570
3617.578125	-99.128654
3703.710938	-99.185425
3789.843750	-99.198547
3875.976563	-99.380013
3962.109375	-99.597038
4048.242188	-100.143967
4134.375000	-100.390656
4220.507813	-100.165527
4306.640625	-100.488396
4392.773438	-100.910042
4478.906250	-100.863686
4565.039063	-100.467934
4651.171875	-101.016472
4737.304688	-101.933350
4823.437500	-102.126770
4909.570313	-101.830109
4995.703125	-101.884895
5081.835938	-102.558678
5167.968750	-103.100235
5254.101563	-102.918556
5340.234375	-102.947792
5426.367188	-103.327026
