Frequency (Hz)	Level (dB)
86.132813	-31.251450
172.265625	-31.682369
258.398438	-32.533211
344.531250	-32.315449
430.664063	-33.233761
516.796875	-34.486252
602.929688	-36.100891
689.062500	-37.546154
775.195313	-38.771870
861.328125	-40.126289
947.460938	-40.887600
1033.593750	-42.082409
1119.726563	-43.293629
1205.859375	-44.361874
1291.992188	-45.806026
1378.125000	-46.443974
1464.257813	-47.845810
1550.390625	-49.096085
1636.523438	-49.883751
1722.656250	-51.428471
1808.789063	-51.981804
1894.921875	-53.617287
1981.054688	-54.274395
2067.187500	-55.021698
2153.320313	-56.578609
2239.453125	-57.344868
2325.585938	-58.593616
2411.718750	-59.214703
2497.851563	-59.570988
2583.984375	-60.266850
2670.117188	-60.643417
2756.250000	-61.170525
2842.382813	-61.928997
2928.515625	-62.409985
3014.648438	-62.750427
3100.781250	-63.196209
3186.914063	-63.601414
3273.046875	-64.112938
3359.179688	-64.586601
3445.312500	-64.856369
3531.445313	-65.141319
3617.578125	-65.907173
3703.710938	-66.206566
3789.843750	-66.904366
3875.976563	-67.095802
3962.109375	-67.364944
4048.242188	-68.601166
4134.375000	-68.790794
4220.507813	-70.127945
4306.640625	-70.682312
4392.773438	-71.703430
4478.906250	-72.959312
4565.039063	-73.999512
4651.171875	-75.588799
4737.304688	-77.154602
4823.437500	-78.694283
4909.570313	-80.545868
4995.703125	-82.651047
5081.835938	-84.772354
5167.968750	-87.385887
5254.101563	-89.906151
5340.234375	-92.276077
5426.367188	-96.105515
