Frequency (Hz)	Level (dB)
86.132813	-34.417732
172.265625	-33.947147
258.398438	-36.901958
344.531250	-42.859428
430.664063	-43.043266
516.796875	-42.827976
602.929688	-47.645184
689.062500	-49.058270
775.195313	-46.911636
861.328125	-48.875496
947.460938	-54.995930
1033.593750	-52.094383
1119.726563	-50.267925
1205.859375	-54.111904
1291.992188	-58.131908
1378.125000	-54.799911
1464.257813	-55.150494
1550.390625	-60.348888
1636.523438	-59.703346
1722.656250	-58.077660
1808.789063	-60.737007
1894.921875	-65.403297
1981.054688	-62.033092
2067.187500	-62.504356
2153.320313	-67.053665
2239.453125	-68.895882
2325.585938	-65.725197
2411.718750	-66.579765
2497.851563	-70.579163
2583.984375	-71.932503
2670.117188	-72.064247
2756.250000	-71.004143
2842.382813	-72.745552
2928.515625	-73.867447
3014.648438	-76.088539
3100.781250	-75.252953
3186.914063	-76.682434
3273.046875	-74.919083
3359.179688	-77.161064
3445.312500	-77.965233
3531.445313	-75.749611
3617.578125	-73.629234
3703.710938	-77.685501
3789.843750	-79.284966
3875.976563	-75.230881
3962.109375	-74.450172
4048.242188	-79.056717
4134.375000	-77.196198
4220.507813	-75.785095
4306.640625	-76.866997
4392.773438	-81.685120
4478.906250	-79.334198
4565.039063	-79.575531
4651.171875	-81.148895
4737.304688	-83.827271
4823.437500	-85.502136
4909.570313	-87.680954
4995.703125	-89.856697
5081.835938	-91.448746
5167.968750	-94.658783
5254.101563	-97.359985
5340.234375	-99.755722
5426.367188	-102.985565
