Frequency (Hz)	Level (dB)
86.132813	-18.802044
172.265625	-25.772745
258.398438	-35.809052
344.531250	-46.074333
430.664063	-52.411236
516.796875	-57.545166
602.929688	-60.223743
689.062500	-63.087013
775.195313	-64.194717
861.328125	-67.129669
947.460938	-68.709526
1033.593750	-69.592728
1119.726563	-71.323235
1205.859375	-73.384064
1291.992188	-74.295731
1378.125000	-74.714211
1464.257813	-75.882660
1550.390625	-77.101692
1636.523438	-79.108627
1722.656250	-79.449486
1808.789063	-79.891487
1894.921875	-79.693138
1981.054688	-81.630714
2067.187500	-83.400444
2153.320313	-83.925201
2239.453125	-82.559319
2325.585938	-83.763222
2411.718750	-85.362350
2497.851563	-86.241837
2583.984375	-86.861450
2670.117188	-86.235748
2756.250000	-86.330185
2842.382813	-87.762215
2928.515625	-89.725113
3014.648438	-88.834915
3100.781250	-88.790619
3186.914063	-88.930878
3273.046875	-90.104630
3359.179688	-91.214584
3445.312500	-91.465881
3531.445313	-90.690086
3617.578125	-91.410919
3703.710938	-92.214600
3789.843750	-92.600098
3875.976563	-93.371704
3962.109375	-93.150162
4048.242188	-93.111511
4134.375000	-93.508995
4220.507813	-94.812805
4306.640625	-94.817673
4392.773438	-94.928314
4478.906250	-94.937531
4565.039063	-95.200661
4651.171875	-95.750717
4737.304688	-96.589508
4823.437500	-97.808510
4909.570313	-97.395454
4995.703125	-97.247429
5081.835938	-98.065346
5167.968750	-98.946243
5254.101563	-99.104797
5340.234375	-99.445313
5426.367188	-98.982567
