Frequency (Hz)	Level (dB)
86.132813	-28.937962
172.265625	-35.648174
258.398438	-40.585732
344.531250	-42.082951
430.664063	-45.483727
516.796875	-47.419579
602.929688	-48.657604
689.062500	-54.265503
775.195313	-59.345272
861.328125	-63.473892
947.460938	-66.025490
1033.593750	-69.684532
1119.726563	-72.220360
1205.859375	-74.771469
1291.992188	-76.608910
1378.125000	-78.212204
1464.257813	-79.446320
1550.390625	-81.526245
1636.523438	-83.427299
1722.656250	-85.625015
1808.789063	-87.758728
1894.921875	-88.655838
1981.054688	-91.297859
2067.187500	-91.925362
2153.320313	-91.066910
2239.453125	-89.199432
2325.585938	-88.719902
2411.718750	-87.932335
2497.851563	-89.194489
2583.984375	-89.410332
2670.117188	-90.387039
2756.250000	-92.255264
2842.382813	-94.193565
2928.515625	-95.673813
3014.648438	-96.338196
3100.781250	-96.741776
3186.914063	-97.242676
3273.046875	-97.596100
3359.179688	-97.226578
3445.312500	-97.337532
3531.445313	-97.989685
3617.578125	-98.907799
3703.710938	-99.323784
3789.843750	-99.784210
3875.976563	-99.992485
3962.109375	-99.946999
4048.242188	-99.878052
4134.375000	-100.353249
4220.507813	-100.701225
4306.640625	-100.775772
4392.773438	-100.895515
4478.906250	-101.092766
4565.039063	-101.105240
4651.171875	-101.300652
4737.304688	-101.758919
4823.437500	-102.301247
4909.570313	-102.269287
4995.703125	-102.282265
5081.835938	-102.522224
5167.968750	-102.954216
5254.101563	-103.441978
5340.234375	-103.574554
5426.367188	-103.632164
