Frequency (Hz)	Level (dB)
86.132812	-29.833580
172.265625	-35.485138
258.398438	-41.948559
344.531250	-49.459496
430.664062	-55.489536
516.796875	-58.566193
602.929688	-62.319733
689.062500	-67.064514
775.195312	-71.194023
861.328125	-74.399956
947.460938	-77.601517
1033.593750	-78.867073
1119.726562	-80.683762
1205.859375	-82.614883
1291.992188	-84.376450
1378.125000	-86.400444
1464.257812	-89.580528
1550.390625	-91.429619
1636.523438	-91.077614
1722.656250	-91.048683
1808.789062	-92.521721
1894.921875	-93.852203
1981.054688	-93.930885
2067.187500	-94.295837
2153.320312	-94.472862
2239.453125	-95.322479
2325.585938	-97.031731
2411.718750	-96.447411
2497.851562	-95.404945
2583.984375	-95.701027
2670.117188	-97.361694
2756.250000	-97.863457
2842.382812	-96.942657
2928.515625	-96.792076
3014.648438	-97.931999
3100.781250	-99.027718
3186.914062	-98.646118
3273.046875	-98.040344
3359.179688	-98.427452
3445.312500	-99.361984
3531.445312	-99.498505
3617.578125	-99.277000
3703.710938	-99.234543
3789.843750	-99.422066
3875.976562	-100.026459
3962.109375	-100.046524
4048.242188	-100.272842
4134.375000	-100.551079
4220.507812	-100.158463
4306.640625	-100.318863
4392.773438	-100.889709
4478.906250	-101.009102
4565.039062	-100.860535
4651.171875	-100.863853
4737.304688	-101.465706
4823.437500	-101.910072
4909.570312	-102.073944
4995.703125	-102.183220
5081.835938	-102.439285
5167.968750	-103.032860
5254.101562	-103.247246
5340.234375	-103.366379
5426.367188	-103.307289
