Frequency (Hz)	Level (dB)
86.132812	-39.387020
172.265625	-41.969231
258.398438	-45.689377
344.531250	-50.265930
430.664062	-53.716240
516.796875	-47.443005
602.929688	-47.240150
689.062500	-55.072006
775.195312	-64.994225
861.328125	-70.136917
947.460938	-72.309341
1033.593750	-75.972580
1119.726562	-78.269165
1205.859375	-79.190033
1291.992188	-80.441963
1378.125000	-80.350121
1464.257812	-82.303787
1550.390625	-85.279808
1636.523438	-87.629982
1722.656250	-87.917633
1808.789062	-89.278679
1894.921875	-91.221016
1981.054688	-91.646225
2067.187500	-91.402718
2153.320312	-91.087685
2239.453125	-91.814560
2325.585938	-93.738976
2411.718750	-94.124596
2497.851562	-92.602180
2583.984375	-92.722458
2670.117188	-94.657341
2756.250000	-95.920464
2842.382812	-94.402496
2928.515625	-94.465225
3014.648438	-95.920731
3100.781250	-97.194016
3186.914062	-96.859756
3273.046875	-96.463692
3359.179688	-96.767426
3445.312500	-97.607498
3531.445312	-98.332237
3617.578125	-98.848854
3703.710938	-98.174995
3789.843750	-97.893341
3875.976562	-98.897232
3962.109375	-99.320068
4048.242188	-99.034157
4134.375000	-99.223106
4220.507812	-99.208305
4306.640625	-99.531464
4392.773438	-100.084641
4478.906250	-100.548630
4565.039062	-100.459526
4651.171875	-100.278221
4737.304688	-100.964439
4823.437500	-101.795731
4909.570312	-102.046074
4995.703125	-101.891243
5081.835938	-101.823410
5167.968750	-101.998817
5254.101562	-102.794212
5340.234375	-102.871643
5426.367188	-102.923912
